title,price,location,url,posted_date
HP EliteBook 8740w Laptop Core i5 2.4 GHz 4GB RAM 500GB Hard Drive DVD,$80,Clackamas,https://portland.craigslist.org/clc/sys/d/clackamas-hp-elitebook-8740w-laptop/7852347957.html,
Msi stealth gs66 gaming laptop,"$1,250",Portland,https://portland.craigslist.org/mlt/sys/d/portland-msi-stealth-gs66-gaming-laptop/7854392380.html,
Hp Chromebook Laptop,$195,Sherwood,https://portland.craigslist.org/wsc/sys/d/sherwood-hp-chromebook-laptop/7854298904.html,
Toshiba Portege M750 Tablet / Convertible laptop - vintage,$80,Se Portland,https://portland.craigslist.org/mlt/sys/d/portland-toshiba-portege-m750-tablet/7853949056.html,
Lenovo Laptop,$250,McMinnville,https://portland.craigslist.org/yam/sys/d/hillsboro-lenovo-laptop/7847901170.html,
"ASUS - Zenbook 14X 14.5"" 2.8K OLED 120 hz Touch Laptop",$350,washington county,https://portland.craigslist.org/wsc/sys/d/beaverton-asus-zenbook-14x-oled-120-hz/7845825615.html,
Gaming Laptop - Asus TUF Gaming F17,$375,Newberg,https://portland.craigslist.org/yam/sys/d/newberg-gaming-laptop-asus-tuf-gaming/7852926090.html,
Padded Laptop Carrying Case,$10,"Yaquina Court, Tualatin",https://portland.craigslist.org/wsc/sys/d/portland-padded-laptop-carrying-case/7849654422.html,
"Dell Touchscreen 11.6"" 2-in-1 Laptop (Intel Pentium, 4GB, 500 GB HDD)",$95,Gresham,https://portland.craigslist.org/mlt/sys/d/gresham-dell-touchscreen-in-laptop/7847704257.html,
Laptop backpack,$35,Old Town Chinatown,https://portland.craigslist.org/mlt/sys/d/portland-laptop-backpack/7851612564.html,
Laptop and Tablet Carrying Cases,$10,Beaverton,https://portland.craigslist.org/wsc/sys/d/laptop-and-tablet-carrying-cases/7851568101.html,
LAPTOP Lenovo ThinkPad 14in,$150,"ASTORIA, OREGON",https://portland.craigslist.org/nco/sys/d/warrenton-laptop-lenovo-thinkpad-14in/7851104811.html,
Brand New Asus OLED Laptop,$630,multnomah county,https://portland.craigslist.org/mlt/sys/d/gresham-brand-new-asus-oled-laptop/7850985575.html,
"Computers ( Laptop,SFF, Desktop, Vintage )  At  surplus gizmos!",$0,Hillsboro,https://portland.craigslist.org/wsc/syd/d/hillsboro-computers-laptopsff-desktop/7850465400.html,
"HP ZBook 17 G5 - Intel i7 - 1TB SSD, 64GB, Win 11 - Fast!, gaming",$499,Hillsboro,https://portland.craigslist.org/wsc/sys/d/hillsboro-hp-zbook-17-g5-intel-i7-1tb/7832479206.html,
HP USB-C Docking Station,$75,Aloha,https://portland.craigslist.org/wsc/sys/d/beaverton-hp-usb-docking-station/7844098065.html,
Dell XPS 15 9550 Gaming 4K Touch i7-6700HQ 2.6GHz 16GB 1TB SSD 2GB GTX,$350,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-dell-xps-gaming-4k-touch-i7/7826295736.html,
"Mac Mini M1 (2020) 8 Gb Ram 512 Gb, Like New",$285,Tigard,https://portland.craigslist.org/wsc/sys/d/portland-mac-mini-gb-ram-512-gb-like-new/7822492485.html,
Lenovo IdeaPad 300,$120,Beaverton Hillsboro Portland Gresham,https://portland.craigslist.org/wsc/sys/d/beaverton-lenovo-ideapad-300/7847092358.html,
2015 MacBook Pro 13 inch I5/8GB/128GB,$200,NE,https://portland.craigslist.org/mlt/sys/d/portland-2015-macbook-pro-13-inch-i5/7856848352.html,
"Dell E5480 14.1"" Quad i5-6440hq, 8Gb, 256Gb NVME SSD , HDMI, Win11P",$140,Portland,https://portland.craigslist.org/mlt/sys/d/portland-dell-quad-i5-6440hq-8gb-256gb/7849494310.html,
"17"" Precision 7720 Quad Xeon@3.0GHz 1TB.NVME.SSD 32GB.DDR4 W11pro",$379,Portland,https://portland.craigslist.org/mlt/sys/d/portland-17-precision-7720-quad/7848805409.html,
"15.6"" HP ZBook Core i7-6700HQ 16GB 1.25TB W11pro",$249,Portland,https://portland.craigslist.org/mlt/sys/d/portland-156-hp-zbook-core-i7-6700hq/7848252055.html,
